age;player_height;player_weight;college;country;draft_year;draft_round
24;205.74;93.439952;Georgetown;USA;1996;1
32;210.82;114.758776;Syracuse;USA;1988;1
25;190.5;94.347136;Weber State;USA;Undrafted;Undrafted
25;210.82;113.398;St. John's (NY);USA;1994;2
25;187.96;83.91452;Michigan State;USA;1995;1
27;208.28;116.119552;Trinity Valley Community College;USA;1989;1
25;228.6;112.490816;Brigham Young;USA;1993;1
24;210.82;117.93392;Clemson;USA;1994;1
20;205.74;104.32616;California;USA;1996;1
25;215.9;136.0776;Louisiana State;USA;1992;1
26;182.88;81.64656;None;USA;Undrafted;Undrafted
23;198.12;94.347136;Georgia;USA;1996;2
35;187.96;83.91452;West Virginia Tech;USA;1983;6
27;208.28;117.93392;Arizona;USA;1992;2
23;208.28;106.59412;Alabama;USA;1996;1
29;203.2;99.79024;Arizona;USA;1989;1
29;208.28;104.32616;North Carolina;USA;Undrafted;Undrafted
26;200.66;102.511792;Connecticut;USA;1993;1
31;180.34;74.84268;California-Irvine;USA;Undrafted;Undrafted
27;198.12;90.7184;None;USA;1992;2
33;195.58;90.7184;None;USA;1987;6
21;205.74;108.86208;Louisville;USA;1996;1
36;205.74;115.66596;North Carolina;USA;1984;1
33;200.66;97.52228;Mercer;USA;1985;3
27;200.66;99.79024;Houston;USA;Undrafted;Undrafted
27;190.5;83.91452;Florida State;USA;1993;1
30;187.96;88.45044;Michigan;USA;1990;1
31;200.66;103.418976;Central Arkansas;USA;1987;1
35;200.66;108.86208;Longwood;USA;1984;2
28;208.28;108.86208;North Carolina;USA;1991;1
18;210.82;102.511792;None;USA;1996;1
24;208.28;111.13004;Michigan;USA;1993;1
23;195.58;90.7184;Western Kentucky;USA;1996;2
33;200.66;97.52228;St. John's (NY);USA;1985;1
31;203.2;99.79024;Auburn;USA;1988;1
27;200.66;97.975872;Arizona;USA;1993;1
27;200.66;99.79024;Ohio State;USA;Undrafted;Undrafted
29;208.28;104.32616;Old Dominion;USA;1991;1
